Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	Vegas	N.tot	N.better	Pval
1	1	gene1	0	36	37	39	38.5866	29.9669	100	84	0.841584
1	2	gene2	36	49	14	23	22.8749	19.7096	100	68	0.683168
1	3	gene3	49	75	27	37	36.6613	44.1965	100	15	0.158416
1	4	gene4	75	104	30	40	39.6315	33.3169	100	73	0.732673
1	5	gene5	104	141	38	48	47.4088	32.2399	100	98	0.980198
1	6	gene6	141	173	33	43	42.5436	50.5056	100	26	0.267327
1	7	gene7	173	208	36	44	43.4984	56.8756	100	9	0.0990099
1	8	gene8	208	242	35	44	43.5312	31.038	100	94	0.940594
1	9	gene9	242	273	32	42	41.5826	47.0587	100	26	0.267327
1	10	gene10	273	313	41	51	50.3311	72.7432	100	3	0.039604
1	11	gene11	313	346	34	43	42.535	95.3519	100	0	0.00990099
1	12	gene12	346	363	18	28	27.8193	17.4677	100	93	0.930693
1	13	gene13	363	393	31	40	39.6287	46.4841	100	25	0.257426
1	14	gene14	393	417	25	33	32.7278	23.9227	100	92	0.920792
1	15	gene15	417	455	39	46	45.4642	42.3294	100	67	0.673267
1	16	gene16	455	487	33	41	40.5921	38.5789	100	61	0.613861
1	17	gene17	487	526	40	50	49.3673	28.8102	100	100	1
1	18	gene18	526	541	16	26	25.8533	26.2426	100	50	0.50495
1	19	gene19	541	574	34	43	42.5555	40.9425	100	58	0.584158
1	20	gene20	574	594	21	30	29.7889	18.3396	100	95	0.950495
1	21	gene21	594	629	36	43	42.5488	28.0235	100	91	0.910891
1	22	gene22	629	643	15	22	21.87	23.526	100	40	0.405941
1	23	gene23	643	671	29	38	37.6617	152.209	100	0	0.00990099
1	24	gene24	671	710	40	48	47.4306	145.172	100	0	0.00990099
1	25	gene25	710	735	26	34	33.6984	36.3875	100	32	0.326733
1	26	gene26	735	769	35	42	41.526	28.2029	100	96	0.960396
1	27	gene27	769	808	40	49	48.4313	60.5731	100	14	0.148515
1	28	gene28	808	833	26	34	33.743	29.4588	100	70	0.70297
1	29	gene29	833	872	40	47	46.501	33.1095	100	93	0.930693
1	30	gene30	872	908	37	43	42.5449	39.3082	100	66	0.663366
1	31	gene31	908	948	41	50	49.3813	57.3947	100	26	0.267327
1	32	gene32	948	975	28	37	36.6758	46.7875	100	12	0.128713
1	33	gene33	975	986	12	22	21.8849	25.0903	100	29	0.29703
1	34	gene34	986	1000	15	20	19.8953	25.9923	100	16	0.168317
