Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	log10(BF_sum)	N.tot	N.better	Pval
1	1	gene1	0	36	37	39	38.5866	1.13929	100	87	0.871287
1	2	gene2	36	49	14	23	22.8749	0.936339	100	65	0.653465
1	3	gene3	49	75	27	37	36.6613	1.3343	100	26	0.267327
1	4	gene4	75	104	30	40	39.6315	1.27176	100	44	0.445545
1	5	gene5	104	141	38	48	47.4088	1.20934	100	98	0.980198
1	6	gene6	141	173	33	43	42.5436	1.34724	100	58	0.584158
1	7	gene7	173	208	36	44	43.4984	1.40446	100	27	0.277228
1	8	gene8	208	242	35	44	43.5312	1.14612	100	97	0.970297
1	9	gene9	242	273	32	42	41.5826	1.44632	100	15	0.158416
1	10	gene10	273	313	41	51	50.3311	1.62882	100	8	0.0891089
1	11	gene11	313	346	34	43	42.535	2.57457	100	0	0.00990099
1	12	gene12	346	363	18	28	27.8193	0.957054	100	93	0.930693
1	13	gene13	363	393	31	40	39.6287	1.22779	100	56	0.564356
1	14	gene14	393	417	25	33	32.7278	0.975938	100	94	0.940594
1	15	gene15	417	455	39	46	45.4642	1.24945	100	70	0.70297
1	16	gene16	455	487	33	41	40.5921	1.16603	100	76	0.762376
1	17	gene17	487	526	40	50	49.3673	1.15655	100	99	0.990099
1	18	gene18	526	541	16	26	25.8533	1.16594	100	28	0.287129
1	19	gene19	541	574	34	43	42.5555	1.63029	100	10	0.108911
1	20	gene20	574	594	21	30	29.7889	0.955269	100	97	0.970297
1	21	gene21	594	629	36	43	42.5488	1.12653	100	96	0.960396
1	22	gene22	629	643	15	22	21.87	0.962576	100	52	0.524752
1	23	gene23	643	671	29	38	37.6617	5.34952	100	0	0.00990099
1	24	gene24	671	710	40	48	47.4306	5.3495	100	0	0.00990099
1	25	gene25	710	735	26	34	33.6984	1.21492	100	34	0.346535
1	26	gene26	735	769	35	42	41.526	1.17317	100	94	0.940594
1	27	gene27	769	808	40	49	48.4313	1.4485	100	26	0.267327
1	28	gene28	808	833	26	34	33.743	1.16302	100	60	0.60396
1	29	gene29	833	872	40	47	46.501	1.29715	100	68	0.683168
1	30	gene30	872	908	37	43	42.5449	1.31339	100	44	0.445545
1	31	gene31	908	948	41	50	49.3813	1.41056	100	33	0.336634
1	32	gene32	948	975	28	37	36.6758	1.39418	100	18	0.188119
1	33	gene33	975	986	12	22	21.8849	1.01047	100	34	0.346535
1	34	gene34	986	1000	15	20	19.8953	1.10696	100	24	0.247525
