Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	SNP.id	SNP.pos	SNP.maf	SNP.qual	K	SSM	BIC	F_stat	R2	N.stop	N.better	Pval
2	35	gene1	0	36	37	39	38.5866	NONE	-	-	-	0	0	0	0	-	0	0	-
2	35	gene1	0	36	37	39	38.5866	SUMMARY	-	-	-	0	0.000448071	-5.06078	4.78608	-	1	1	1
2	36	Gene2	36	49	14	23	22.8749	NONE	-	-	-	0	0	0	0	-	0	0	-
2	36	Gene2	36	49	14	23	22.8749	SUMMARY	-	-	-	0	0.000429973	-4.63467	4.59233	-	1	1	1
2	37	Gene3	49	75	27	37	36.6613	NONE	-	-	-	0	0	0	0	-	0	0	-
2	37	Gene3	49	75	27	37	36.6613	SUMMARY	-	-	-	0	0.000640044	-3.98277	6.84367	-	1	1	1
2	38	Gene4	75	104	30	40	39.6315	NONE	-	-	-	0	0	0	0	-	0	0	-
2	38	Gene4	75	104	30	40	39.6315	SUMMARY	-	-	-	0	0.000640044	-4.06067	6.84367	-	1	1	1
2	39	Gene5	104	141	38	48	47.4088	NONE	-	-	-	0	0	0	0	-	0	0	-
2	39	Gene5	104	141	38	48	47.4088	SUMMARY	-	-	-	0	0.000370988	-5.6787	3.96108	-	1	1	1
2	40	Gene6	141	173	33	40	39.6085	NONE	-	-	-	0	0	0	0	-	0	0	-
2	40	Gene6	141	173	33	40	39.6085	SUMMARY	-	-	-	0	0.000513765	-4.73565	5.48972	-	1	1	1
