Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	Gates	Pval
1	1	gene1	0	36	37	39	38.5866	1	1
1	2	gene2	36	49	14	23	22.8749	0.724132	0.724132
1	3	gene3	49	75	27	37	36.6613	0.328728	0.328728
1	4	gene4	75	104	30	40	39.6315	0.355402	0.355402
1	5	gene5	104	141	38	48	47.4088	1	1
1	6	gene6	141	173	33	43	42.5436	0.821575	0.821575
1	7	gene7	173	208	36	44	43.4984	0.428871	0.428871
1	8	gene8	208	242	35	44	43.5312	1	1
1	9	gene9	242	273	32	42	41.5826	0.255206	0.255206
1	10	gene10	273	313	41	51	50.3311	0.154934	0.154934
1	11	gene11	313	346	34	43	42.535	0.00554773	0.00554773
1	12	gene12	346	363	18	28	27.8193	1	1
1	13	gene13	363	393	31	40	39.6287	1	1
1	14	gene14	393	417	25	33	32.7278	1	1
1	15	gene15	417	455	39	46	45.4642	0.597215	0.597215
1	16	gene16	455	487	33	41	40.5921	1	1
1	17	gene17	487	526	40	50	49.3673	1	1
1	18	gene18	526	541	16	26	25.8533	0.146327	0.146327
1	19	gene19	541	574	34	43	42.5555	0.0568667	0.0568667
1	20	gene20	574	594	21	30	29.7889	1	1
1	21	gene21	594	629	36	43	42.5488	1	1
1	22	gene22	629	643	15	22	21.87	0.733492	0.733492
1	23	gene23	643	671	29	38	37.6617	3.04411e-06	3.04411e-06
1	24	gene24	671	710	40	48	47.4306	3.84433e-06	3.84433e-06
1	25	gene25	710	735	26	34	33.6984	0.393514	0.393514
1	26	gene26	735	769	35	42	41.526	1	1
1	27	gene27	769	808	40	49	48.4313	0.401731	0.401731
1	28	gene28	808	833	26	34	33.743	0.501037	0.501037
1	29	gene29	833	872	40	47	46.501	0.370649	0.370649
1	30	gene30	872	908	37	43	42.5449	0.574291	0.574291
1	31	gene31	908	948	41	50	49.3813	0.655521	0.655521
1	32	gene32	948	975	28	37	36.6758	0.128493	0.128493
1	33	gene33	975	986	12	22	21.8849	0.375766	0.375766
1	34	gene34	986	1000	15	20	19.8953	0.182413	0.182413
