#id	name	chr	start	end
1	gene1	1	0	36
2	gene2	1	36	49
3	gene3	1	49	75
4	gene4	1	75	104
5	gene5	1	104	141
6	gene6	1	141	173
7	gene7	1	173	208
8	gene8	1	208	242
9	gene9	1	242	273
10	gene10	1	273	313
11	gene11	1	313	346
12	gene12	1	346	363
13	gene13	1	363	393
14	gene14	1	393	417
15	gene15	1	417	455
16	gene16	1	455	487
17	gene17	1	487	526
18	gene18	1	526	541
19	gene19	1	541	574
20	gene20	1	574	594
21	gene21	1	594	629
22	gene22	1	629	643
23	gene23	1	643	671
24	gene24	1	671	710
25	gene25	1	710	735
26	gene26	1	735	769
27	gene27	1	769	808
28	gene28	1	808	833
29	gene29	1	833	872
30	gene30	1	872	908
31	gene31	1	908	948
32	gene32	1	948	975
33	gene33	1	975	986
34	gene34	1	986	1000
