Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	SNP.id	SNP.pos	SNP.maf	SNP.qual	K	SSM	BIC	F_stat	R2	N.stop	N.better	Pval
1	1	gene1	0	36	37	41	40.545	NONE	-	-	-	0	0	0	0	-	0	0	-
1	1	gene1	0	36	37	41	40.545	SUMMARY	-	-	-	0	0.000445333	-5.12493	4.75676	-	1	1	1
1	2	gene2	36	49	14	23	22.8768	NONE	-	-	-	0	0	0	0	-	0	0	-
1	2	gene2	36	49	14	23	22.8768	SUMMARY	-	-	-	0	0.000428385	-4.64324	4.57532	-	1	1	1
1	3	gene3	49	75	27	35	34.6881	NONE	-	-	-	0	0	0	0	-	0	0	-
1	3	gene3	49	75	27	35	34.6881	SUMMARY	-	-	-	0	0.000625477	-4.00539	6.6874	-	1	1	1
1	4	gene4	75	104	30	40	39.6315	NONE	-	-	-	0	0	0	0	-	0	0	-
1	4	gene4	75	104	30	40	39.6315	SUMMARY	-	-	-	0	0.000625477	-4.13862	6.6874	-	1	1	1
1	5	gene5	104	141	38	48	47.4088	NONE	-	-	-	0	0	0	0	-	0	0	-
1	5	gene5	104	141	38	48	47.4088	SUMMARY	-	-	-	0	0.000370152	-5.68316	3.95214	-	1	1	1
1	6	gene6	141	173	33	43	42.5436	NONE	-	-	-	0	0	0	0	-	0	0	-
1	6	gene6	141	173	33	43	42.5436	SUMMARY	-	-	-	0	0.000459705	-5.09621	4.91066	-	1	1	1
1	7	gene7	173	208	36	45	44.4775	NONE	-	-	-	0	0	0	0	-	0	0	-
1	7	gene7	173	208	36	45	44.4775	SUMMARY	-	-	-	0	0.000502882	-4.90979	5.37312	-	1	1	1
1	8	gene8	208	242	35	43	42.554	NONE	-	-	-	0	0	0	0	-	0	0	-
1	8	gene8	208	242	35	43	42.554	SUMMARY	-	-	-	0	0.000333915	-5.76876	3.56454	-	1	1	1
1	9	gene9	242	273	32	42	41.5826	NONE	-	-	-	0	0	0	0	-	0	0	-
1	9	gene9	242	273	32	42	41.5826	SUMMARY	-	-	-	0	0.000693254	-3.82393	7.41473	-	1	1	1
1	10	gene10	273	313	41	50	49.3493	NONE	-	-	-	0	0	0	0	-	0	0	-
1	10	gene10	273	313	41	50	49.3493	SUMMARY	-	-	-	0	0.000765541	-3.60813	8.19104	-	1	1	1
1	11	gene11	313	346	34	43	42.541	NONE	-	-	-	0	0	0	0	-	0	0	-
1	11	gene11	313	346	34	43	42.541	SUMMARY	-	-	-	0	0.00126709	-0.770172	13.594	-	1	1	1
1	12	gene12	346	363	18	28	27.8193	NONE	-	-	-	0	0	0	0	-	0	0	-
1	12	gene12	346	363	18	28	27.8193	SUMMARY	-	-	-	0	0.000229563	-5.90109	2.44923	-	1	1	1
1	13	gene13	363	393	31	40	39.6287	NONE	-	-	-	0	0	0	0	-	0	0	-
1	13	gene13	363	393	31	40	39.6287	SUMMARY	-	-	-	0	0.000385925	-5.41962	4.1209	-	1	1	1
1	14	gene14	393	417	25	35	34.6955	NONE	-	-	-	0	0	0	0	-	0	0	-
1	14	gene14	393	417	25	35	34.6955	SUMMARY	-	-	-	0	0.000310674	-5.68876	3.31604	-	1	1	1
1	15	gene15	417	455	39	49	48.4069	NONE	-	-	-	0	0	0	0	-	0	0	-
1	15	gene15	417	455	39	49	48.4069	SUMMARY	-	-	-	0	0.000573557	-4.61644	6.13058	-	1	1	1
1	16	gene16	455	487	33	43	42.5566	NONE	-	-	-	0	0	0	0	-	0	0	-
1	16	gene16	455	487	33	43	42.5566	SUMMARY	-	-	-	0	0.000356528	-5.64799	3.8064	-	1	1	1
