Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	SNP.id	SNP.pos	SNP.maf	SNP.qual	K	SSM	BIC	F_stat	R2	N.stop	N.better	Pval
1	1	gene1	0	36	37	39	38.5866	NONE	-	-	-	0	0	0	0	-	0	0	-
1	1	gene1	0	36	37	39	38.5866	SUMMARY	-	-	-	0	0.000448071	-5.06078	4.78608	-	1	1	1
1	2	gene2	36	49	14	23	22.8749	NONE	-	-	-	0	0	0	0	-	0	0	-
1	2	gene2	36	49	14	23	22.8749	SUMMARY	-	-	-	0	0.000429973	-4.63467	4.59233	-	1	1	1
1	3	gene3	49	75	27	37	36.6613	NONE	-	-	-	0	0	0	0	-	0	0	-
1	3	gene3	49	75	27	37	36.6613	SUMMARY	-	-	-	0	0.000640044	-3.98277	6.84367	-	1	1	1
1	4	gene4	75	104	30	40	39.6315	NONE	-	-	-	0	0	0	0	-	0	0	-
1	4	gene4	75	104	30	40	39.6315	SUMMARY	-	-	-	0	0.000640044	-4.06067	6.84367	-	1	1	1
1	5	gene5	104	141	38	48	47.4088	NONE	-	-	-	0	0	0	0	-	0	0	-
1	5	gene5	104	141	38	48	47.4088	SUMMARY	-	-	-	0	0.000370988	-5.6787	3.96108	-	1	1	1
1	6	gene6	141	173	33	43	42.5436	NONE	-	-	-	0	0	0	0	-	0	0	-
1	6	gene6	141	173	33	43	42.5436	SUMMARY	-	-	-	0	0.000513765	-4.80714	5.48972	-	1	1	1
1	7	gene7	173	208	36	44	43.4984	NONE	-	-	-	0	0	0	0	-	0	0	-
1	7	gene7	173	208	36	44	43.4984	SUMMARY	-	-	-	0	0.000513765	-4.82933	5.48972	-	1	1	1
1	8	gene8	208	242	35	44	43.5312	NONE	-	-	-	0	0	0	0	-	0	0	-
1	8	gene8	208	242	35	44	43.5312	SUMMARY	-	-	-	0	0.000335082	-5.78523	3.57702	-	1	1	1
1	9	gene9	242	273	32	42	41.5826	NONE	-	-	-	0	0	0	0	-	0	0	-
1	9	gene9	242	273	32	42	41.5826	SUMMARY	-	-	-	0	0.000703547	-3.76883	7.52523	-	1	1	1
1	10	gene10	273	313	41	51	50.3311	NONE	-	-	-	0	0	0	0	-	0	0	-
1	10	gene10	273	313	41	51	50.3311	SUMMARY	-	-	-	0	0.000770702	-3.60019	8.2465	-	1	1	1
1	11	gene11	313	346	34	43	42.535	NONE	-	-	-	0	0	0	0	-	0	0	-
1	11	gene11	313	346	34	43	42.535	SUMMARY	-	-	-	0	0.00129803	-0.60388	13.9282	-	1	1	1
1	12	gene12	346	363	18	28	27.8193	NONE	-	-	-	0	0	0	0	-	0	0	-
1	12	gene12	346	363	18	28	27.8193	SUMMARY	-	-	-	0	0.000229899	-5.8993	2.45281	-	1	1	1
1	13	gene13	363	393	31	40	39.6287	NONE	-	-	-	0	0	0	0	-	0	0	-
1	13	gene13	363	393	31	40	39.6287	SUMMARY	-	-	-	0	0.0003897	-5.39944	4.16129	-	1	1	1
1	14	gene14	393	417	25	33	32.7278	NONE	-	-	-	0	0	0	0	-	0	0	-
1	14	gene14	393	417	25	33	32.7278	SUMMARY	-	-	-	0	0.000311224	-5.62744	3.32191	-	1	1	1
1	15	gene15	417	455	39	46	45.4642	NONE	-	-	-	0	0	0	0	-	0	0	-
1	15	gene15	417	455	39	46	45.4642	SUMMARY	-	-	-	0	0.000577141	-4.53455	6.169	-	1	1	1
1	16	gene16	455	487	33	41	40.5921	NONE	-	-	-	0	0	0	0	-	0	0	-
1	16	gene16	455	487	33	41	40.5921	SUMMARY	-	-	-	0	0.000357584	-5.59509	3.81769	-	1	1	1
1	17	gene17	487	526	40	50	49.3673	NONE	-	-	-	0	0	0	0	-	0	0	-
1	17	gene17	487	526	40	50	49.3673	SUMMARY	-	-	-	0	0.000305363	-6.06981	3.25925	-	1	1	1
1	18	gene18	526	541	16	26	25.8533	NONE	-	-	-	0	0	0	0	-	0	0	-
1	18	gene18	526	541	16	26	25.8533	SUMMARY	-	-	-	0	0.000716479	-3.22435	7.66409	-	1	1	1
1	19	gene19	541	574	34	43	42.5555	NONE	-	-	-	0	0	0	0	-	0	0	-
1	19	gene19	541	574	34	43	42.5555	SUMMARY	-	-	-	0	0.000962437	-2.40504	10.3086	-	1	1	1
1	20	gene20	574	594	21	30	29.7889	NONE	-	-	-	0	0	0	0	-	0	0	-
1	20	gene20	574	594	21	30	29.7889	SUMMARY	-	-	-	0	0.000278715	-5.707	2.97441	-	1	1	1
1	21	gene21	594	629	36	43	42.5488	NONE	-	-	-	0	0	0	0	-	0	0	-
1	21	gene21	594	629	36	43	42.5488	SUMMARY	-	-	-	0	0.000196715	-6.50141	2.09839	-	1	1	1
1	22	gene22	629	643	15	22	21.87	NONE	-	-	-	0	0	0	0	-	0	0	-
1	22	gene22	629	643	15	22	21.87	SUMMARY	-	-	-	0	0.000367232	-4.92507	3.92091	-	1	1	1
1	23	gene23	643	671	29	38	37.6617	NONE	-	-	-	0	0	0	0	-	100	0	-
1	23	gene23	643	671	29	38	37.6617	dis2_2	668	0.47175	1	1	0.00259288	6.49609	28.0171	0	0	0	-
1	23	gene23	643	671	29	38	37.6617	dis2_1	667	0.2715	1	2	0.00504397	13.1315	27.4599	0.00032489	0	0	-
1	23	gene23	643	671	29	38	37.6617	dis2_4	670	0.462	1	3	0.00667129	15.8145	19.5553	0.00246207	0	0	-
1	23	gene23	643	671	29	38	37.6617	dis2_0	666	0.4825	1	4	0.00813254	17.9685	16.8226	0.00120242	0	0	-
1	23	gene23	643	671	29	38	37.6617	dis2_3	669	0.1535	1	5	0.00953212	20.0945	14.0374	0.000868812	0	0	-
