Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	Vegas	N.tot	N.better	Pval
1	1	gene1	0	36	37	41	40.545	30.321	100	90	0.90099
1	2	gene2	36	49	14	24	23.8658	19.8733	100	71	0.712871
1	3	gene3	49	75	27	37	36.6613	43.9524	100	22	0.227723
1	4	gene4	75	104	30	40	39.6315	33.1378	100	74	0.742574
1	5	gene5	104	141	38	48	47.4088	32.135	100	96	0.960396
1	6	gene6	141	173	33	43	42.5436	49.7466	100	21	0.217822
1	7	gene7	173	208	36	45	44.4775	57.2349	100	12	0.128713
1	8	gene8	208	242	35	44	43.5312	30.9962	100	91	0.910891
1	9	gene9	242	273	32	42	41.5826	46.8337	100	27	0.277228
1	10	gene10	273	313	41	51	50.3311	72.337	100	5	0.0594059
1	11	gene11	313	346	34	44	43.5201	94.0259	100000	1	1.99998e-05
1	12	gene12	346	363	18	28	27.8193	17.4421	100	95	0.950495
1	13	gene13	363	393	31	40	39.6287	46.3726	100	22	0.227723
1	14	gene14	393	417	25	35	34.6955	24.5659	100	92	0.920792
1	15	gene15	417	455	39	49	48.4069	43.9438	100	65	0.653465
1	16	gene16	455	487	33	43	42.5566	39.5723	100	59	0.594059
1	17	gene17	487	526	40	50	49.3673	28.7661	100	100	1
1	18	gene18	526	541	16	26	25.8533	26.1746	100	50	0.50495
1	19	gene19	541	574	34	44	43.536	45.431	100	41	0.415842
1	20	gene20	574	594	21	31	30.7739	18.8171	100	95	0.950495
1	21	gene21	594	629	36	46	45.4906	29.8328	100	97	0.970297
1	22	gene22	629	643	15	25	24.8364	24.9654	100	45	0.455446
1	23	gene23	643	671	29	39	38.6443	149.919	100000	0	9.9999e-06
1	24	gene24	671	710	40	50	49.3854	142.958	100000	0	9.9999e-06
1	25	gene25	710	735	26	36	35.6627	36.9155	100	48	0.485149
1	26	gene26	735	769	35	44	43.4881	30.4703	100	90	0.90099
1	27	gene27	769	808	40	50	49.4099	62.6456	100	11	0.118812
1	28	gene28	808	833	26	36	35.7092	30.4109	100	73	0.732673
1	29	gene29	833	872	40	49	48.4497	34.7878	100	94	0.940594
1	30	gene30	872	908	37	46	45.4643	40.7268	100	66	0.663366
1	31	gene31	908	948	41	50	49.3813	57.0482	100	23	0.237624
1	32	gene32	948	975	28	38	37.6628	47.4243	100	16	0.168317
1	33	gene33	975	986	12	22	21.8849	25.0321	100	28	0.287129
1	34	gene34	986	1000	15	20	19.8953	25.9082	100	19	0.19802
