SNP.id	Chr	Pos	NonCoded.Allele	Coded.Allele	Beta	Se	Chi2	Log10BF	Coded.Af	Qual	ESampleSize	NGenes	Fmiss	Pval
null1_0	1	1	D	d	-0.0284333	0.0377185	0.568259	-0.295005	0.03375	1	130.444	1	0	0.450951
null1_1	1	2	D	d	-0.00901159	0.0143169	0.396192	-0.703886	0.38625	1	948.244	1	0	0.529062
null1_2	1	3	D	d	-0.0177693	0.017025	1.08936	-0.486857	0.2015	1	643.591	1	0	0.296614
null1_3	1	4	d	D	0.00650618	0.0142654	0.208011	-0.745232	0.635	1	927.1	1	0	0.648331
null1_4	1	5	D	d	-0.0131914	0.0136664	0.931697	-0.609778	0.44025	1	985.72	1	0	0.334422
null1_5	1	6	D	d	-0.00841811	0.0182371	0.213068	-0.641837	0.17275	1	571.63	1	0	0.644373
null1_6	1	7	D	d	-0.0173307	0.0153758	1.27046	-0.48988	0.27875	1	804.194	1	0	0.259681
null1_7	1	8	d	D	-0.0191416	0.0194419	0.96934	-0.45903	0.8535	1	500.151	1	0	0.324845
null1_8	1	9	D	d	-0.00866941	0.0136353	0.40425	-0.722615	0.46175	1	994.148	1	0	0.524903
null1_9	1	10	D	d	0.0106177	0.0146759	0.523419	-0.666645	0.36875	1	931.094	1	0	0.469387
null1_10	1	11	d	D	0.00221139	0.0144057	0.0235649	-0.780149	0.643	1	918.204	1	0	0.877997
null1_11	1	12	D	d	0.0402382	0.0709507	0.321636	-0.156354	0.0095	1	37.639	0	0	0.570626
null1_12	1	13	D	d	0.0378191	0.0351248	1.1593	-0.20873	0.04025	1	154.52	1	0	0.281611
null1_13	1	14	D	d	-0.0320526	0.0195307	2.69335	-0.100812	0.14475	1	495.19	1	0	0.100768
null1_14	1	15	D	d	0.00434344	0.0142756	0.0925718	-0.769369	0.378	1	940.464	1	0	0.760933
null1_15	1	16	d	D	0.002402	0.018991	0.0159975	-0.666069	0.84975	1	510.7	1	0	0.899351
